Sentence|Translation
Donc c'est un mal pour un bien, certes.|So it's an evil for a good, of course.
J'en ai souffert.|I've suffered.
Ça a un peu mis une fissure, elle est pas énorme.|It's a little cracked, it's not huge.
C'est un mal pour un bien parce que le fait d'avoir eu cette distance, Je commençais à voir que je tenais à toi, que tu me manquais.|It's an evil for a good because the fact that I had that distance, I was starting to see that I cared for you, that I missed you.
J'ai besoin d'être avec toi, tu me souviens ?|I need to be with you, remember?
Moi aussi.|Me too.
Moi, je me sens compris avec cette histoire entre moi et elle.|Me, I feel understood with this story between me and her.
C'est pas une petite amourette d'une semaine.|She's not a week-old lover.
Et j'ai envie que ça dure le plus longtemps possible.|And I want it to last as long as possible.
Et de pouvoir lui dire un jour, je t'aime.|And to be able to tell her one day, I love you.
Franchement, je me sens trop bien parce que...|Frankly, I feel too good because...
Parce que ça me fait du bien de le retrouver.|Because it feels good to find him.
Parce que je m'ai tellement manqué pendant ces quelques jours.|Because I've missed so much for those days.
Il est là, il est à côté de moi et on essaie d'avancer en fait.|He's here, he's next to me, and we're actually trying to move on.
Bonne nuit.|Good night.
Ça pue l'amour.|It smells like love.
C'est compliqué.|It's complicated.
Je suis un peu mitigé parce que, Clarisse, on a débuté quelque chose, on s'est embrassés dans la journée.|I'm a little mixed because, Clarisse, we started something, we kissed each other all day.
Mais c'est vrai qu'il y a Manon qui me plaît aussi.|But it's true that I like Manon too.
Donc là, je sais plus trop quoi faire.|So now I don't know what to do.
Dans ma tête, franchement, je suis totalement perdu.|In my head, frankly, I'm totally lost.
Lalou, que se passe-t-il ?|Lalou, what's going on?
On te voit, t'es pas track, t'es neurasthénique, je comprends pas.|We see you, you're not track, you're neurasthenic, I don't understand.
Je sais pas, y a pas les petits trucs, tu vois.|I don't know, there's no little stuff, you know.
C'est quoi les petits trucs en plus pour toi ?|What's the extra little stuff for you?
Je sais pas, qu'on rigole plus.|I don't know, we're not laughing anymore.
Elle ressemble à Manon.|She looks like Manon.
Après Manon, voilà, bien sûr qu'on a eu un très bon feeling.|After Manon, that's it, of course we had a very good feeling.
Donc...|So...
Lalou, il nous faut une boussole, je pense.|Lalou, we need a compass, I think.
et complètement paumé dans cette aventure, c'est l'enfer.|And completely confused in this adventure, it's hell.
Tu vas faire comment ?|How are you gonna do it?
Tu vas laisser passer la match d'il est de demain ou tu vas faire quoi ?|You're gonna let it pass tomorrow's game, or what are you gonna do?
Je vais réfléchir cette nuit.|I'll think about it tonight.
Moi, je dors la nuit, je ne réfléchis pas aux événements.|I sleep at night, I don't think about events.
Comme on dit, la nuit porte conseil.|As they say, the night is a good advice.
Pour moi, ça me porte conseil.|For me, it's my advice.
On verra.|We'll see.
Là, c'est limite le décodeur, il ne marche plus.|That's the limit of the decoder, it doesn't work anymore.
Je ne sais pas trop comment je vais m'en sortir.|I don't know how I'm gonna make it.
Je me pose des questions.|I'm wondering.
Je ne sais pas comment je vais faire.|I don't know how I'm gonna do it.
Demain, ça va être compliqué.|Tomorrow's gonna be complicated.
J'ai l'honneur de vous annoncer que vous êtes le dernier groupe à partir en week-end tentation.|I have the honour to announce that you are the last band to leave on a weekend temptation.
Je suis absolument dégoûtée.|I'm absolutely disgusted.
Pourquoi tu fais ça ?|Why are you doing this?
Tu joues avec les gens, là ?|You're playing with people right now?
Frère, là, c'est pas bien parce que tu vas te faire pleurer, en fait.|Brother, it's not good because you're actually gonna get weeped.
T'es complètement débile.|You're completely stupid.
Ça, je sais pas, en fait, ce que vous êtes en train de faire.|I don't know, actually, what you're doing.
C'est pas bon.|It's not good.
C'est chaud.|It's hot.
C'est totalement irrespectueux, ce qu'il m'a fait.|It's totally disrespectful, what he did to me.
Vous êtes fous.|You're crazy.
Mais tais-toi, tais-toi !|Shut up, shut up!
Mais tais-toi, qu'est-ce que tu me laves dessus, en fait ?|But shut up, what are you washing on me, anyway?
Il commence pas à monter quoi.|He's not starting to come up with anything.
Mais il fait ce qu'il veut !|But he does what he wants!
Eh, vous allez trop loin, là.|Hey, you're going too far.
Là, vous allez trop loin.|Now you're going too far.
D'accord, on va trop loin.|Okay, we're going too far.
Faut se faire descendre, les filles.|You got to get shot, girls.
Là, je peux pas cautionner ça, en fait.|I can't back that up, actually.
C'est lui.|That's him.
Oh là là !|Oh, there!
La tentation nous a suivis, les gars !|The temptation followed us, guys!
C'est un avion de chasse, c'est un beau mec.|It's a fighter plane, he's a handsome guy.
Il est très beau.|He's very beautiful.
C'est qui en toi ?|Who's in you?
Pardon, j'ai oublié.|I'm sorry, I forgot.
