Sentence,Emotion,Translated
"What is ah, Rach in her room?",neutral,"Qu'est-ce que Ah, Rach dans sa chambre?"
"Oh no, she's still at work, but she told me to tell you to call her.",neutral,"Oh non, elle est toujours au travail, mais elle m'a dit de vous dire de l'appeler."
Oh what?! Is she gonna cancel on me again?! How can she do this? Doesn't she know it's our anniversary?,anger,Oh quoi ?!Va-t-elle encore annuler sur moi ?!Comment peut-elle faire cela?Ne sait-elle pas que ce soit notre anniversaire?
"All right ah, Ross, this is the extent of my knowledge on the subject. Call Rachel.",neutral,"Très bien Ah, Ross, c'est l'étendue de mes connaissances sur le sujet.Appelez Rachel."
What's that on the bottom?,neutral,Qu'est-ce que c'est en bas?
"Oh that's my doodle of a ladybug, with a top hat. She's fancy.",happiness,"Oh c'est mon doodle d'une coccinelle, avec un chapeau haut de forme.Elle est fantaisiste."
Hello.,neutral,Bonjour.
"Hey, honey.",neutral,"Hé, chérie."
"Oh, hi.",neutral,"Oh, salut."
"Hey, what's going on?",neutral,"Hé, que se passe-t-il?"
"Well, there was a disaster in shipping and I've got to get this order in. Honey, I'm so sorry, but it looks like I'm gonna be here all night.",sadness,"Eh bien, il y a eu une catastrophe dans l'expédition et je dois passer cette commande. Chérie, je suis vraiment désolée, mais on dirait que je vais être ici toute la nuit."
"What, do you, well umm, oh how about I come up there?",sadness,"Quoi, vous, bien umm, oh et que je viens là-bas?"
"No-no-no, no, honey please, I've got, I've just have so much to deal with.",happiness,"Non-non, non, chérie s'il vous plaît, j'ai, j'ai tellement de choses à gérer."
"Anyway, I'm going out with Sergei again tonight, and um, could you come and be the translator's date? So that when we, it's time for our alone time, you two could split off. Y'know, he's really, he's kinda cute.",happiness,"Quoi qu'il en soit, je sors avec Sergei ce soir, et euh, pourriez-vous venir et être le rendez-vous du traducteur?Pour que lorsque nous, il est temps pour notre temps seul, vous pouvez vous séparer.Tu sais, il est vraiment, il est plutôt mignon."
"Yeah, well kinda cute, like really kinda cute, or kinda cute like your friend Spackel Back Larry?",neutral,"Ouais, bien assez mignon, comme vraiment assez mignon, ou un peu mignon comme ton ami Spackel en retour Larry?"
"Hey, don't call him that! His name is Spackel Back Harry!",anger,"Hé, ne l'appelle pas ça!Son nom est Spackel Back Harry!"
"Hey, y'know what, maybe we should get going. I mean what time did Chloe say we should be there?",neutral,"Hé, tu sais quoi, peut-être que nous devrions y aller.Je veux dire à quelle heure Chloé a dit que nous devrions être là?"
"Uh, 10:30.",neutral,"Euh, 10h30."
What time is it now?,neutral,Quelle heure est-il maintenant?
4:30.,neutral,4h30.
"Yeah all right, so we'll hang out.",happiness,"Ouais, donc nous allons passer du temps."
"Yeah. Hey, remember when she brought up that thing about the three of us?",neutral,"Ouais.Hé, tu te souviens quand elle a évoqué cette chose à propos de nous trois?"
Yes. Vividly.,neutral,Oui.Vivement.
She was kidding about that right?,neutral,Elle plaisantait à ce sujet?
"Yeah, I-I-I think so. Yeah, I-I think so...",neutral,"Ouais, je pense que oui.Ouais, je pense que oui ..."
"God, that would be weird it that situation presented itself tonight, huh?",neutral,"Dieu, ce serait bizarre que cette situation se soit présentée ce soir, hein?"
"Yeah. Yeah, I mean what, what would we do?",neutral,"Ouais.Ouais, je veux dire quoi, que ferions-nous?"
"Dude, I don't know.",neutral,"Mec, je ne sais pas."
She was kidding.,neutral,Elle plaisantait.
Yeah.,neutral,Ouais.
"She was.... But y'know what, just in case, maybe we should come up with a set of ground rules.",neutral,"Elle était ... mais vous savez quoi, juste au cas où, nous devrions peut-être trouver un ensemble de règles de base."
"Yeah, for sure. Okay. Probably want the first thing to be, never open your eyes. Y'know, because you don't want to be doing something and then look up and see something you don't want to be seeing.",neutral,"Ouais, c'est sûr.D'accord.Je veux probablement que la première chose soit, n'ouvrez jamais les yeux.Vous savez, parce que vous ne voulez pas faire quelque chose, puis levez les yeux et voyez quelque chose que vous ne voulez pas voir."
"Yeah. Good call, nice one. Hold it!! Hold it! What if me eyes are closed, and, and my hand is out there....",neutral,"Ouais.Bon appel, gentil.Tenez-le !!Tenez-le!Et si mes yeux sont fermés et, et ma main est là-bas ..."
"Ah!! Okay! Eyes open at all times! Oh, hey, how do we decide where we... y'know each would, y'know be?",neutral,"Ah !!D'accord!Les yeux ouverts en tout temps!Oh, hé, comment décidons-nous où nous ... tu sais chacun, tu sais?"
"Right. Right. Well ah, y'know we could flip for it.",neutral,"Droite.Droite.Eh bien, vous savez que nous pourrions le retourner."
"Yeah, I guess, but what's like heads and what's tails?",neutral,"Ouais, je suppose, mais qu'est-ce que les têtes et qu'est-ce que la queue?"
"Well it you don't know that, then I don't want to do this with you.",neutral,"Eh bien, vous ne le savez pas, alors je ne veux pas faire ça avec vous."
Hey.,neutral,Hé.
"Hi. Look um, about what happened earlier...",neutral,"Salut.Regardez euh, ce qui s'est passé plus tôt ..."
"No, hey, well, I-I completely understand. You were, you were stressed.",neutral,"Non, hé, eh bien, je comprends parfaitement.Vous où vous avez été stressé."
I was gonna give you a chance to apologise to me.,anger,J'allais vous donner une chance de m'excuser auprès de moi.
For what? For letting you throw me out of your office?,anger,Pour quoi?Pour vous avoir laissé me jeter hors de votre bureau?
You had no right coming down to my office Ross. You do not bring a picnic basket to somebody's work! Unless maybe they were a park ranger!,anger,Vous n'aviez pas droit à mon bureau Ross.Vous n'apportez pas de panier de pique-nique au travail de quelqu'un!À moins que ce ne soit peut-être un garde forestier!
"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",anger,"Ouais, eh bien excusez-moi de vouloir être avec ma copine lors de notre anniversaire, garçon quel cul suis moi."
"But I told you, I didn't have the time!",anger,"Mais je vous ai dit, je n'avais pas le temps!"
"Yeah, well you never have the time. I mean, I don't feel like I even have a girlfriend anymore, Rachel.",anger,"Ouais, eh bien tu n'as jamais le temps.Je veux dire, je n'ai plus l'impression d'avoir une petite amie, Rachel."
"Wh, Ross what do you want from me? You want me, you want me to quit my job so you can feel like you have a girlfriend?",anger,"Wh, Ross qu'est-ce que tu veux de moi?Tu me veux, tu veux que je quitte mon travail pour que tu puisses avoir l'impression d'avoir une petite amie?"
"No, but it'd be nice if you realised, it's just a job!",anger,"Non, mais ce serait bien si vous vous êtes rendu compte, c'est juste un travail!"
Just a job!,anger,Juste un travail!
Yes.,anger,Oui.
Ross do you realise this is the first time in my life I'm doing something I actually care about. This is the first time in my life I'm doing something that I'm actually good at. I mean. if you don't get that...,anger,"Ross réalisez-vous que c'est la première fois de ma vie, je fais quelque chose qui me tient vraiment à cœur.C'est la première fois de ma vie, je fais quelque chose dans lequel je suis vraiment bon.Je veux dire.Si vous ne comprenez pas ça ..."
"No, hey, I get that, okay, I get that big time. And I'm happy for ya, but I'm tired of having a relationship with your answering machine! Okay, I don't know what to do anymore.",anger,"Non, hé, je comprends ça, d'accord, je reçois ce grand temps.Et je suis content pour toi, mais je suis fatigué d'avoir une relation avec ton répondeur!D'accord, je ne sais plus quoi faire."
Well neither do I!,anger,Eh bien non plus!
Is this about Mark?,anger,Est-ce à propos de Mark?
Oh my God.,anger,Oh mon Dieu.
"Okay, it's not, it's not.",fear,"D'accord, ce n'est pas le cas, ce n'est pas le cas."
"Oh my God. I cannot keep having this same fight over and over again, Ross, no, you're, you're, you're making this too hard.",anger,"Oh mon Dieu.Je ne peux pas continuer à avoir ce même combat encore et encore, Ross, non, vous êtes, vous, vous rendez cela trop difficile."
"Oh I'm, I'm making this too hard. Okay, what do you want me to do.",neutral,"Oh je suis, je fais ça trop difficile.D'accord, que voulez-vous que je fasse."
"I don't know, I don't know. Urrrgh! Look, maybe we should take a break.",anger,"Je ne sais pas, je ne sais pas.Urrrgh!Écoutez, peut-être que nous devrions faire une pause."
"Okay, okay, fine, you're right. Let's ah, let's take a break, let's cool off, okay, let's get some frozen yogart, or something..",happiness,"D'accord, d'accord, très bien, vous avez raison.Ah, prenons une pause, refroidissons-nous, d'accord, faisons du yogart glacé, ou quelque chose."
No. A break from us.,anger,Non. Une pause de nous.
"And the advances in collating in the past five years, I mean we just got in an X-5000, y'know. The X-5000 makes the X-50 look like a T-71.",happiness,"Et les progrès de la collation au cours des cinq dernières années, je veux dire que nous venons de passer dans un X-5000, vous savez.Le X-5000 fait ressembler le X-50 à un T-71."
"Hey, it's the dinosaur guy. Hi, Ross.",happiness,"Hé, c'est le dinosaure.Salut, Ross."
"Oh, hi Chloe.",happiness,"Oh, Salut Chloé."
"I want you to met some friends of mine. This guy is my hero, he comes in with some stuff he wants it blown up 400%, we said we don't do that, and he says you gotta. And y'know what, we did it. And now anytime anybody wants 400, we just say 'let's Ross it!'",happiness,"Je veux que vous rencontriez mes amis.Ce mec est mon héros, il vient avec des trucs qu'il veut qu'il a fait exploser 400%, nous avons dit que nous ne faisons pas ça, et il dit que tu dois.Et vous savez quoi, nous l'avons fait.Et maintenant, chaque fois que quelqu'un en veut 400, nous disons simplement ""Soyons Ross!"""
And that's the only colour that comes in.,neutral,Et c'est la seule couleur qui arrive.
"Yo, Chloe, do you have a quarter for the condom machine?",happiness,"Yo, Chloé, avez-vous un quart pour la machine du préservatif?"
Oh!,anger,Oh!
"So, what are you doing here? I thought tonight was your big anniversary dinner.",neutral,"Alors, qu'est-ce que tu fais ici?Je pensais que ce soir était votre grand dîner d'anniversaire."
"Yeah, little change in plans. Ahh, we're gonna break-up instead.",anger,"Ouais, peu de changement dans les plans.Ahh, nous allons à la place à la place."
"Oh, and I can also speak a little French. Voulez-vous coucher avec moi ce soir? Why? What did I say?",happiness,"Oh, et je peux aussi parler un peu de français.Voulez-Vous Coucher Avec Moi ce Soir?Pourquoi?Qu'est-ce que j'ai dit?"
"Well, you just asked if I wanted to go to bed with you tonight.",happiness,"Eh bien, vous venez de vous demander si je voulais me coucher avec vous ce soir."
Oh my God! No wonder I get such great service at Cafe Maurice.,happiness,Oh mon Dieu!Pas étonnant que j'obtienne un si bon service au Cafe Maurice.
"Knock, knock, knock, knock, hi. Um, could you please tell Sergei that um, I was fascinated by what Boutros Boutros Gali said in the New York Times.",happiness,"Frapper, frapper, frapper, frapper, salut.Um, pourriez-vous s'il vous plaît dire à Sergei que euh, j'étais fasciné par ce que Boutros Boutros Gali a dit dans le New York Times."
You didn't say Boutros Boutros Gali.,neutral,Vous n'avez pas dit Boutros Boutros Ghali.
Boutros Boutros Gali.,neutral,Boutros Boutros Ghali.
He says he was too.,neutral,Il dit qu'il l'était aussi.
Interesting.,neutral,Interesting.
So I was wondering....,neutral,Alors je me demandais ...
"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.",happiness,"D'accord, ah, avant de redevenir Talky, umm, pourriez-vous aussi dire à Sergei que j'aime vraiment son costume."
"Eh, he said, thank you very much, he thinks you look very pretty tonight, your hair, golden like the sun. So you're a chef?",happiness,"Eh, a-t-il dit, merci beaucoup, il pense que vous avez l'air très joli ce soir, vos cheveux, dorés comme le soleil.Alors tu es un chef?"
I'm also thinking about opening up my own restaurant.,happiness,Je pense également à ouvrir mon propre restaurant.
"Oh, really.",neutral,Oh vraiment.
"Monica, can I talk to you behind my menu, please. What are you doing?",anger,"Monica, puis-je vous parler derrière mon menu, s'il vous plaît.Que fais-tu?"
"Well, I was having a conversation.",fear,"Eh bien, j'avais une conversation."
"Yeah but, Mischa is so interested in you, that Sergei and I haven't been able to say two words to each other.",anger,"Ouais mais, Mischa s'intéresse tellement à toi, que Sergei et moi n'avons pas pu se dire deux mots."
What do you want me to do? Just sit here silently while you three have a conversation?,sadness,Que voulez-vous que je fasse?Asseyez-vous ici silencieusement pendant que vous avez une conversation?
That would be great. Thank you.,happiness,Ce serait génial.Merci.
Hello!,happiness,Bonjour!
"Oh, hi. It's Mark.",happiness,"Oh, salut.C'est Mark."
Oh.,sadness,Oh.
What? Is it my breath?,fear,Quoi?Est-ce mon souffle?
"No! Sorry, I just thought you were somebody else. Hi!",happiness,"Non!Désolé, je pensais juste que tu étais quelqu'un d'autre.Salut!"
"Hi. Well, look, I was just gonna leave a message, isn't tonight your, your big anniversary dinner?",neutral,"Salut.Eh bien, regardez, j'allais juste laisser un message, n'est-ce pas ce soir, votre grand dîner d'anniversaire?"
"Yeah. Well, umm.....",neutral,"Ouais.Eh bien, umm ....."
"Rach, are you okay?",neutral,"Rach, ça va?"
"Yeah, I'm fine.",sadness,"Ouais, je vais bien."
"You wanna talk, I mean I can come over?",neutral,"Tu veux parler, je veux dire que je peux venir?"
"No! Really, no, please, please, that's, that's okay.",sadness,"Non!Vraiment, non, s'il vous plaît, s'il vous plaît, c'est bien."
"All right, all right, I'm coming over, and I'm bringing Chinese food.",happiness,"Très bien, d'accord, je viens, et j'apporte de la nourriture chinoise."
"Oh, yeah, I'm not, I'm not hungry.",sadness,"Oh, ouais, je ne le suis pas, je n'ai pas faim."
It's for me.,happiness,C'est pour moi.
"Oh. Okay, bye.",sadness,"Oh.D'accord, au revoir."
So what are you gonna do?,neutral,Alors qu'est-ce que tu vas faire?
"What can I do? One person wants to break-up, you break-up.",sadness,"Que puis-je faire?Une personne veut rompre, vous rompez."
"Hey, no way! Come on, this is you guys, call her and work it out.",sadness,"Hé, aucun moyen!Allez, c'est vous les gars, appelez-la et travaillez-le."
"Oh come on, we just had this huge fight, all right, don't I have to wait a while?",anger,"Oh allez, nous avons juste eu cet énorme combat, d'accord, je ne dois pas attendre un moment?"
"Hey, this isn't like swimming after you eat, pick up the phone!!",sadness,"Hé, ce n'est pas comme nager après avoir mangé, décrochez le téléphone !!"
Y'know that whole swimming thing is a myth.,neutral,Vous savez que toute la natation est un mythe.
"Yeah, tell that to my Uncle Lenny.",happiness,"Ouais, dites ça à mon oncle Lenny."
Why? What happened to him?,neutral,Pourquoi?Qu'est-ce qui lui est arrivé?
"Nothing, he's just really believes in that.",neutral,"Rien, il ne croit vraiment à cela."
"Oh, and then, we got into this big, stupid fight. I just, it was awful. I told him he treats me like a park ranger, or something, oh and then I told him I wanted to take a break, I don't want to take a break.",sadness,"Oh, et puis, nous sommes entrés dans ce grand combat stupide.Je suis juste horrible.Je lui ai dit qu'il me traite comme un garde forestier, ou quelque chose comme ça, oh et puis je lui ai dit que je voulais faire une pause, je ne veux pas faire une pause."
Wow. I'm sorry. Eggroll?,neutral,Ouah.Je suis désolé.Eggroll?
"No. And then I called him, and he wasn't there.",sadness,"Non. Et puis je l'ai appelé, et il n'était pas là."
"Well, then he's, he's probably just, out.",neutral,"Eh bien, alors il l'est, il est probablement juste, sorti."
"Oh, thank you that's very helpful, I'm glad you came over.",happiness,"Oh, merci c'est très utile, je suis content que vous soyez venu."
Hello.,neutral,Bonjour.
Hi! It's me.,happiness,Salut!C'est moi.
"Hi! Oh, I'm so glad you called.",happiness,"Salut!Oh, je suis tellement content que tu as appelé."
"Really? I've been thinking, this is crazy, I mean don't, don't you think we can work on this?",neutral,"Vraiment?J'ai pensé, c'est fou, je veux dire, ne pensez-vous pas que nous pouvons travailler là-dessus?"
"Hey, what do you want to drink?",neutral,"Hé, qu'est-ce que tu veux boire?"
Who's that?,neutral,Qui c'est?
Nobody.,neutral,Personne.
Is it okay if I finish the apple juice?,neutral,Est-ce que ça va si je termine le jus de pomme?
Is that Mark?,neutral,Est-ce que cette marque?
"Umm, honey, look he just came over to....",neutral,"Umm, chérie, regarde-t-il, il vient de venir ..."
Yeah! Got it!,anger,Ouais!J'ai compris!
"Hey, dinosaur guy, look at you, so sad. Come dance.",happiness,"Hé, mec dinosaure, regarde te, tellement triste.Venez danser."
"Ah, that's okay, thanks.",sadness,"Ah, ça va, merci."
"Hey, you don't have to smile. You just have to dance.",happiness,"Hé, tu n'as pas à sourire.Il suffit de danser."
"Look, I don't feel like dancing, I feel like having a drink. Okay?",neutral,"Écoutez, je n'ai pas envie de danser, j'ai envie de boire un verre.D'accord?"
"Oh, okay. Hey, two beers.",happiness,"Oh d'accord.Hé, deux bières."
"And the vet said it was time. And so from half a world away, while my Mother held the phone to his ear, I said good bye to my dog,. In seven languages.",sadness,"Et le vétérinaire a dit qu'il était temps.Et donc à moitié d'un monde, alors que ma mère tenait le téléphone à son oreille, j'ai dit au revoir à mon chien.En sept langues."
Oh. Can I have a tissue?,sadness,Oh.Puis-je avoir un tissu?
"Oh, yeah, sure. I just hope you, hope you don't accidentally suck it up through your nose and choke on it.",fear,"Oh, oui, bien sûr.J'espère juste que vous, j'espère que vous ne le sucez pas accidentellement par le nez et ne vous étouffez pas."
"Sergei, would like to apologise for my behaviour tonight.",sadness,"Sergei, aimerait m'excuser pour mon comportement ce soir."
"Well, tell him, apology accepted.",happiness,"Eh bien, dites-lui, des excuses acceptées."
"Oh, he's unbelievable. I mean for the first time in three years somebody wants to actually want to talk to me, but do you think he would let me enjoy that, no!! You silly diplomat, why don't you learn some English, Sergei?",anger,"Oh, il est incroyable.Je veux dire pour la première fois en trois ans, quelqu'un veut vraiment me parler, mais pensez-vous qu'il me laisserait apprécier ça, non !!Vous diplomate idiot, pourquoi n'apprends-tu pas l'anglais, Sergei?"
"Excuse me, but umm, isn't he paying for your dinner?",neutral,"Excusez-moi, mais euh, ne paie-t-il pas pour votre dîner?"
"Hey, the man's dog just died.",sadness,"Hé, le chien de l'homme vient de mourir."
I have just resigned my post. Would you care to accompany me to the Rainbow Room? I have diplomatic coupons.,happiness,Je viens de résigner mon message.Souhaitez-vous m'accompagner dans la salle des arcs-en-ciel?J'ai des coupons diplomatiques.
It will be my pleasure. My guy has diplomatic coupons. Your guy can't even say coupons.,happiness,Ce sera mon plaisir.Mon gars a des coupons diplomatiques.Votre gars ne peut même pas dire des coupons.
"Uh, plate?",fear,"Euh, assiette?"
"Plate! Yes, plate.",happiness,"Plaque!Oui, assiette."
Plate. Plate. Plate.,happiness,Plaque.Plaque.Plaque.
"See, we don't need them.",happiness,"Vous voyez, nous n'en avons pas besoin."
Plate?,happiness,Plaque?
Yeah.,happiness,Ouais.
"Touchet, touchet, Miss Americccan pie. Ameri-ccan.",happiness,"Touchet, Touchet, Miss Americccan Pie.Ameri-Can."
Ameri-can.,happiness,Ameri-can.
Ameri-ccan.,happiness,Ameri-Can.
Ameri-can. Y'know it's a very hard language. Let's do it again.,happiness,Américain.Vous savez que c'est une langue très dure.Remarquons.
Everybody!!,happiness,Tout le monde!!
"I mean, I don't feel like I even have a girlfriend anymore.",sadness,"Je veux dire, je n'ai plus l'impression d'avoir une petite amie."
You want me to just quit my job so that you can feel like you've got a girlfriend?,anger,Vous voulez que je quitte mon travail pour que vous puissiez avoir l'impression d'avoir une petite amie?
Is this about Mark?,anger,Est-ce à propos de Mark?
Oh my God.,anger,Oh mon Dieu.
"Okay, it's not, it's not.",happiness,"D'accord, ce n'est pas le cas, ce n'est pas le cas."
"Oh my God. I cannot keep having this same fight with you Ross! Look, urrgh, maybe we should take a break.",anger,"Oh mon Dieu.Je ne peux pas continuer à avoir ce même combat avec toi Ross!Regardez, Urrgh, nous devrions peut-être faire une pause."
"Fine, you're right. Let's ah, let's take a break, let's cool off, okay, let's get some frozen yoghurt, or something..",happiness,"Très bien, tu as raison.Ah, prenons une pause, refroidissons-nous, d'accord, faisons du yaourt glacé, ou quelque chose."
No. A break from us.,sadness,Non. Une pause de nous.
"Then, we had this big, stupid fight, and I said I wanted to take a break, I don't want to take a break.",sadness,"Ensuite, nous avons eu ce grand combat stupide, et j'ai dit que je voulais faire une pause, je ne veux pas faire une pause."
"I've been thinking, this is crazy, I mean don't, don't you think we can work on this?",fear,"J'ai pensé, c'est fou, je veux dire, ne pensez-vous pas que nous pouvons travailler là-dessus?"
"Hey, what do you want to drink?",neutral,"Hé, qu'est-ce que tu veux boire?"
Who's that?,neutral,Qui c'est?
Nobody.,neutral,Personne.
Is that Mark?,neutral,Est-ce que cette marque?
"Umm, honey, look he just came over to....",fear,"Umm, chérie, regarde-t-il, il vient de venir ..."
Yeah! Got it!,anger,Ouais!J'ai compris!
Hey.,neutral,Hé.
Hey.,neutral,Hé.
How's the big anniversary dinner?,neutral,Comment est le grand dîner d'anniversaire?
"Well, we never actually got to dinner.",sadness,"Eh bien, nous n'avons jamais pu dîner."
"Ohhh, nice.",sadness,"Ohhh, sympa."
"No, we kinda broke up instead.",sadness,"Non, nous avons un peu rompu."
What?!,fear,Quoi?!
"God, Monica it's on the ceiling.",fear,"Dieu, Monica c'est au plafond."
"That's okay, this is more important than fruit on my ceiling! You broke up?!",anger,"C'est bon, c'est plus important que les fruits au plafond!Vous avez rompu ?!"
"Yeah, but it's okay, because when Ross left Mark came over.",happiness,"Ouais, mais ça va, parce que quand Ross a quitté, Mark est venu."
Oh no!!,anger,Oh non!!
No.,neutral,Non.
"Rachel, you and Mark?!",fear,"Rachel, toi et Mark ?!"
"No, no-no, it's okay, calm down. Mark and I talked, and I realised how much I love your stupid brother, and, yeah, we got our problems, but I really want to make it work.",happiness,"Non, non-non, ça va, calmez-vous.Mark et moi avons parlé, et j'ai réalisé à quel point j'aime votre stupide frère et, oui, nous avons eu nos problèmes, mais je veux vraiment le faire fonctionner."
Hey!,happiness,Hé!
Hey.,neutral,Hé.
"Hey, why are you mopping your ceiling?",neutral,"Hé, pourquoi épongez-vous votre plafond?"
"Oh, there's banana on it.",neutral,"Oh, il y a une banane dessus."
"Wow, I have the spirit of an old Indian women living in mine.",happiness,"Wow, j'ai l'esprit d'une vieille femme indienne vivant dans la mienne."
So then you know?,happiness,Alors tu sais?
"The mailman was downstairs, so I brought up your mail.",happiness,"Le facteur était en bas, alors j'ai évoqué votre courrier."
"Oh, good. Thanks.",happiness,"Oh, bon.Merci."
Now what is Fabutec?,happiness,"Maintenant, qu'est-ce que Fabutec?"
"Okay, all right don't judge me to much. Okay? Um, but I saw this info-mercial, and um, I swear to you I have never-ever bought anything on TV before, except for this mop. But there was this stuff on leg waxing, it just, it looked so amazing....",happiness,"D'accord, bien ne me jugez pas beaucoup.D'accord?Euh, mais j'ai vu cette info-matière, et euh, je vous jure que je n'ai jamais rien acheté à la télévision auparavant, à l'exception de cette vadrouille.Mais il y avait ce truc sur la cire des jambes, ça juste, ça avait l'air si incroyable ..."
Waxine!!,happiness,Waxine !!
Yes! Have you seen it?,happiness,Oui!L'avez-vous vu?
"Oh, it's incredible! I so want to be a Waxine girl.",happiness,"Oh, c'est incroyable!Je veux tellement être une fille de cire."
I know!!,happiness,Je sais!!
God. Do think it really doesn't hurt? 'Cause how can they do that?,fear,Dieu.Pensez-vous que cela ne fait vraiment pas de mal?Parce que comment peuvent-ils faire ça?
Hello! Organic substances recently discovered in the depths of the rain forest!,happiness,Bonjour!Substances organiques récemment découvertes dans les profondeurs de la forêt tropicale!
They have the best stuff in there.,happiness,Ils ont les meilleures choses là-dedans.
Oh my God! Oh my God!,fear,Oh mon Dieu!Oh mon Dieu!
"Yeah. We figured when we couldn't find you, you'd gone home to make up with Rachel. Which is probably what you shoulda done. Huh?",happiness,"Ouais.Nous avons pensé que lorsque nous ne pouvons pas vous trouver, vous étiez rentré chez vous pour racheter Rachel.C'est probablement ce que vous auriez dû faire.Hein?"
"You think?! God, I, ah, I'm in hell. I mean what, what am I gonna do? Rachel's all like, 'I love you and, and let's work on this.' And all I can think about is, 'What is she gonna do? What is she gonna say?' when I tell her what I did.",sadness,"Vous pensez ?!Dieu, moi, ah, je suis en enfer.Je veux dire quoi, qu'est-ce que je vais faire?Rachel est tout comme: «Je t'aime et, et travaillons là-dessus.Et tout ce à quoi je peux penser, c'est: «Qu'est-ce qu'elle va faire?Qu'est-ce qu'elle va dire?Quand je lui dis ce que j'ai fait."
"Well, before we answer that, I think we should address the more important question. How dumb are you?",happiness,"Eh bien, avant de répondre à cela, je pense que nous devons répondre à la question la plus importante.À quel point êtes-vous stupide?"
"What?! Look, we're trying to rebuild a relationship here, right. How am I supposed to do that here, without being totally honest with each other?",happiness,"Quoi?!Écoutez, nous essayons de reconstruire une relation ici, non.Comment suis-je censé faire ça ici, sans être totalement honnête les uns avec les autres?"
"Look, Ross look, I'm on board about this totally honesty thing, I am, just not about stuff that's gonna get you in trouble.",happiness,"Écoutez, Ross Look, je suis à bord de cette chose totalement honnête, je suis, mais pas des choses qui vont vous causer des ennuis."
"He's right. Nobody's gonna benefit, and you're just gonna hurt her.",neutral,Il a raison.Personne n'en bénéficiera et tu vas juste lui faire du mal.
"Yeah, and there won't be a relationship left to rebuild.",neutral,"Ouais, et il ne reste pas de relation à reconstruire."
"Yeah, but don't you think....",neutral,"Ouais, mais tu ne penses pas ..."
"All right look, if you absolutely have to tell her, at least wait until the timing's right. And that's what deathbeds are for.",happiness,"Très bien, si vous devez absolument lui dire, attendez au moins le moment du moment.Et c'est à cela que servent les lits de mort."
"Yeah, okay.",happiness,"Ouais, d'accord."
"All right, okay, now, we just have to make sure she doesn't find out some other way. Did you think about the trail?",happiness,"Très bien, d'accord, maintenant, nous devons simplement nous assurer qu'elle ne découvre pas une autre manière.Avez-vous pensé au sentier?"
What trail?,neutral,Quel sentier?
The trail from the woman you did it with to the woman you hope never finds out who did it! You always have to think about the trail!,happiness,Le sentier de la femme avec laquelle vous l'avez fait à la femme que vous espérez ne découvrira jamais qui l'a fait!Vous devez toujours penser au sentier!
"Oh, I-I don't think there's any trail.",happiness,"Oh, je ne pense pas qu'il y ait du sentier."
"Okay, okay-okay, ah, Chloe works with that guy Issac. Issac's sister is Jasmine. And Jasmine works at that message place with Phoebe. And Phoebe's friends with Rachel. And that's the trail, I did it!",happiness,"D'accord, ok-okay, Ah, Chloé travaille avec ce gars Isaac.La sœur d'Isaac est Jasmine.Et Jasmine travaille à cette place de message avec Phoebe.Et les amis de Phoebe avec Rachel.Et c'est le sentier, je l'ai fait!"
"After applying the Waxine and linen strips to leg number one,",neutral,"Après avoir appliqué les bandes de cire et de lin à la jambe numéro un,"
Did that!,happiness,Fait ça!
Grasp one of the linen strips by its 'easy grab tab' and pull it off in one quick pain free motion.,neutral,Saisissez l'une des bandes de lin par son «onglet Easy Grab» et retirez-le en un seul mouvement libre de douleur.
Okay. Ow!!!!! Ow-oh-oh!,sadness,D'accord.OW !!!!!Ow-oh-oh!
Was it not pain-free?,neutral,N'est-ce pas sans douleur?
"No. It was painful. Oh my God , they should call it Pain-zine, now with a little wax.",anger,"Non. C'était douloureux.Oh mon Dieu, ils devraient l'appeler Pain-Zine, maintenant avec un peu de cire."
"Huh, well, the girls in the satin nighties on the commercial don't seem to think it's that bad.",neutral,"Huh, eh bien, les filles des nuisettes en satin de la publicité ne semblent pas penser que c'est si mal."
"That's because their nerves are probably deadened from being so stupid. But hey, y'know if you don't believe me, please, by my guest.",neutral,"C'est parce que leurs nerfs sont probablement endormis d'être si stupides.Mais bon, vous savez si vous ne me croyez pas, s'il vous plaît, par mon invité."
Ow-ow-ow-ow! Oh my God!!!,anger,Ow-Ow-Ow-Ow!Oh mon Dieu!!!
"Now, are you glad we didn't start with the bikini strips?",neutral,"Maintenant, êtes-vous content que nous n'ayons pas commencé par les bandes de bikini?"
Jasmine?,anger,Jasmin?
Uh-huh.,happiness,Uh-huh.
"We met at Phoebe's birthday party, I'm, I'm Ross Geller.",anger,"Nous nous sommes rencontrés à la fête d'anniversaire de Phoebe, je suis, je suis Ross Geller."
You did a bad thing!,anger,Vous avez fait une mauvaise chose!
"Yes, I did.",happiness,"Oui, je l'ai fait."
Very bad!,sadness,Très mauvais!
Very bad.,sadness,Très mauvais.
"Very, very bad.",anger,"Très, très mauvais."
"I'm agreeing with you. Did you, listen, did you happen to tell Phoebe yet?",happiness,"Je suis d'accord avec toi.Avez-vous, écouté, avez-vous déjà dit à Phoebe?"
No.,neutral,Non.
